"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
"";"ьсаличн́окаЗ";"";"Зако́нчилась";" ";"в су́мерках пти́ц суета́, На мо́ре";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:0"
" ьсаличн́окаЗ";"в";"Зако́нчилась";"в";" ";"су́мерках пти́ц суета́, На мо́ре усну́ли";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:1"
" в ьсаличн́окаЗ";"хакрем́ус";"Зако́нчилась в";"су́мерках";" ";"пти́ц суета́, На мо́ре усну́ли фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:2"
" хакрем́ус в ьсаличн́окаЗ";"ц́итп";"Зако́нчилась в су́мерках";"пти́ц";" ";"суета́, На мо́ре усну́ли фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:3"
" ц́итп хакрем́ус в ьсаличн́окаЗ";"́атеус";"Зако́нчилась в су́мерках пти́ц";"суета́";", ";"На мо́ре усну́ли фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:4"
" ,́атеус ц́итп хакрем́ус в ьсаличн́окаЗ";"аН";"Зако́нчилась в су́мерках пти́ц суета́,";"На";" ";"мо́ре усну́ли фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:5"
" аН ,́атеус ц́итп хакрем́ус в ьсаличн́окаЗ";"ер́ом";"Зако́нчилась в су́мерках пти́ц суета́, На";"мо́ре";" ";"усну́ли фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:6"
" ер́ом аН ,́атеус ц́итп хакрем́ус в";"ил́унсу";"в су́мерках пти́ц суета́, На мо́ре";"усну́ли";" ";"фелю́ги.";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:7"
" ил́унсу ер́ом аН ,́атеус ц́итп хакрем́ус";"иѓюлеф";"су́мерках пти́ц суета́, На мо́ре усну́ли";"фелю́ги";".  ";"";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"Зако́нчилась в су́мерках пти́ц суета́, На мо́ре усну́ли фелю́ги.";"b9f3660e7ab687235656c5f383c7ebce:1:8"
"";"И";"";"И";" ";"ме́сяц беспу́тный исче́з в темноте́: Он";"vadfalcon. Созвездия в небе не спят, как всегда (2010)";"vadfalcon";"1900-1999";"Созвездия в небе не спят, как всегда";"2010";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"7";"66";"н-уровень";"н-уровень";"большая";"И ме́сяц беспу́тный исче́з в темноте́: Он да́рит созве́здиям ме́сто.";"b9f3660e7ab687235656c5f383c7ebce:2:0"
