"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" и ,н́ос орп в́ыбаЗ";"́орп";"Забы́в про со́н, и";"про́";" ";"уста́лость, И наплева́ть что за́втра в";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:4"
" ́орп и ,н́ос орп в́ыбаЗ";"ьтсол́атсу";"Забы́в про со́н, и про́";"уста́лость";", ";"И наплева́ть что за́втра в се́мь";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:5"
" ,ьтсол́атсу ́орп и ,н́ос орп в́ыбаЗ";"И";"Забы́в про со́н, и про́ уста́лость,";"И";" ";"наплева́ть что за́втра в се́мь, Встава́ть";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:6"
" И ,ьтсол́атсу ́орп и ,н́ос орп";"ьт́авелпан";"про со́н, и про́ уста́лость, И";"наплева́ть";" ";"что за́втра в се́мь, Встава́ть и";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:7"
" ьт́авелпан И ,ьтсол́атсу ́орп и ,н́ос";"отч";"со́н, и про́ уста́лость, И наплева́ть";"что";" ";"за́втра в се́мь, Встава́ть и е́хать";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:8"
" отч ьт́авелпан И ,ьтсол́атсу ́орп и";"артв́аз";"и про́ уста́лость, И наплева́ть что";"за́втра";" ";"в се́мь, Встава́ть и е́хать мне́";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:9"
" артв́аз отч ьт́авелпан И ,ьтсол́атсу ́орп";"в";"про́ уста́лость, И наплева́ть что за́втра";"в";" ";"се́мь, Встава́ть и е́хать мне́ на";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:10"
" в артв́аз отч ьт́авелпан И ,ьтсол́атсу";"ьм́ес";"уста́лость, И наплева́ть что за́втра в";"се́мь";", ";"Встава́ть и е́хать мне́ на па́ры";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:11"
" ,ьм́ес в артв́аз отч ьт́авелпан И";"ьт́аватсВ";"И наплева́ть что за́втра в се́мь,";"Встава́ть";" ";"и е́хать мне́ на па́ры, А";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:12"
" ьт́аватсВ ,ьм́ес в артв́аз отч ьт́авелпан";"и";"наплева́ть что за́втра в се́мь, Встава́ть";"и";" ";"е́хать мне́ на па́ры, А впро́чем";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:13"
" и ьт́аватсВ ,ьм́ес в артв́аз отч";"ьтах́е";"что за́втра в се́мь, Встава́ть и";"е́хать";" ";"мне́ на па́ры, А впро́чем, и́";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:14"
" ьтах́е и ьт́аватсВ ,ьм́ес в артв́аз";"́енм";"за́втра в се́мь, Встава́ть и е́хать";"мне́";" ";"на па́ры, А впро́чем, и́ не";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:15"
" ́енм ьтах́е и ьт́аватсВ ,ьм́ес в";"ан";"в се́мь, Встава́ть и е́хать мне́";"на";" ";"па́ры, А впро́чем, и́ не ва́жно";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:16"
" ан ́енм ьтах́е и ьт́аватсВ ,ьм́ес";"ыр́ап";"се́мь, Встава́ть и е́хать мне́ на";"па́ры";", ";"А впро́чем, и́ не ва́жно э́то";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:17"
" ,ыр́ап ан ́енм ьтах́е и ьт́аватсВ";"А";"Встава́ть и е́хать мне́ на па́ры,";"А";" ";"впро́чем, и́ не ва́жно э́то всё";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:18"
" А ,ыр́ап ан ́енм ьтах́е и";"меч́орпв";"и е́хать мне́ на па́ры, А";"впро́чем";", ";"и́ не ва́жно э́то всё совсе́м";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:19"
" ,меч́орпв А ,ыр́ап ан ́енм ьтах́е";"́и";"е́хать мне́ на па́ры, А впро́чем,";"и́";" ";"не ва́жно э́то всё совсе́м, Нева́жно";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:20"
" ́и ,меч́орпв А ,ыр́ап ан ́енм";"ен";"мне́ на па́ры, А впро́чем, и́";"не";" ";"ва́жно э́то всё совсе́м, Нева́жно да́же";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:21"
" ен ́и ,меч́орпв А ,ыр́ап ан";"онж́ав";"на па́ры, А впро́чем, и́ не";"ва́жно";" ";"э́то всё совсе́м, Нева́жно да́же то́";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:22"
" онж́ав ен ́и ,меч́орпв А ,ыр́ап";"от́э";"па́ры, А впро́чем, и́ не ва́жно";"э́то";" ";"всё совсе́м, Нева́жно да́же то́, что";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:23"
" от́э онж́ав ен ́и ,меч́орпв А";"ёсв";"А впро́чем, и́ не ва́жно э́то";"всё";" ";"совсе́м, Нева́жно да́же то́, что на́ши";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:24"
" ёсв от́э онж́ав ен ́и ,меч́орпв";"м́есвос";"впро́чем, и́ не ва́жно э́то всё";"совсе́м";", ";"Нева́жно да́же то́, что на́ши а́вы";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:25"
" ,м́есвос ёсв от́э онж́ав ен ́и";"онж́авеН";"и́ не ва́жно э́то всё совсе́м,";"Нева́жно";" ";"да́же то́, что на́ши а́вы, Как";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:26"
" онж́авеН ,м́есвос ёсв от́э онж́ав ен";"еж́ад";"не ва́жно э́то всё совсе́м, Нева́жно";"да́же";" ";"то́, что на́ши а́вы, Как Ма́рс";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:27"
" еж́ад онж́авеН ,м́есвос ёсв от́э онж́ав";"́от";"ва́жно э́то всё совсе́м, Нева́жно да́же";"то́";", ";"что на́ши а́вы, Как Ма́рс с";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:28"
" ,́от еж́ад онж́авеН ,м́есвос ёсв от́э";"отч";"э́то всё совсе́м, Нева́жно да́же то́,";"что";" ";"на́ши а́вы, Как Ма́рс с Юпи́тером";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:29"
" отч ,́от еж́ад онж́авеН ,м́есвос ёсв";"иш́ан";"всё совсе́м, Нева́жно да́же то́, что";"на́ши";" ";"а́вы, Как Ма́рс с Юпи́тером от";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:30"
" иш́ан отч ,́от еж́ад онж́авеН ,м́есвос";"ыв́а";"совсе́м, Нева́жно да́же то́, что на́ши";"а́вы";", ";"Как Ма́рс с Юпи́тером от Зе́мли";"slaap. С тобой знакомы мы недавно (2011)";"slaap";"";"С тобой знакомы мы недавно";"2011";"наивная поэзия";"";"";"";"";"";"омонимия не снята";"6";"278";"н-уровень";"н-уровень";"большая";"Забы́в про со́н, и про́ уста́лость, И наплева́ть что за́втра в се́мь, Встава́ть и е́хать мне́ на па́ры, А впро́чем, и́ не ва́жно э́то всё совсе́м, Нева́жно да́же то́, что на́ши а́вы, Как Ма́рс с Юпи́тером от Зе́мли далеки́, Мы ста́вим вме́сто на́с кого́ уго́дно, Но всё равно́ мы ве́рим в то́, что э́то МЫ́, Но за́ карти́нкой да́же э́той, Я ви́жу, чу́вствуя тебя́, И́ вновь сообще́нье я́ пишу́, И вно́вь ""чита́ешь"" ты́ меня́….";"c5a9cd6cae2f357bc9db108f990fa8cb:2:31"
