"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
" зеб й̀авад ,̀ун А";"икин̀ап";"А ну̀, дава̀й без";"па̀ники";"! ";"";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"А ну̀, дава̀й без па̀ники!";"40a9b96dbde3af62a37e7563a76e653c:2:4"
"";"В";"";"В";" ";"Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:0"
" В";"ьн̀еД";"В";"Дѐнь";" ";"Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:1"
" ьн̀еД В";"ог̀отявС";"В Дѐнь";"Свято̀го";" ";"Па̀трика вы̀ходѝ на Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:2"
" ог̀отявС ьн̀еД В";"акирт̀аП";"В Дѐнь Свято̀го";"Па̀трика";" ";"вы̀ходѝ на Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:3"
" акирт̀аП ог̀отявС ьн̀еД В";"̀идох̀ыв";"В Дѐнь Свято̀го Па̀трика";"вы̀ходѝ";" ";"на Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:4"
" ̀идох̀ыв акирт̀аП ог̀отявС ьн̀еД В";"ан";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ";"на";" ";"Па̀трики.";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:5"
" ан ̀идох̀ыв акирт̀аП ог̀отявС ьн̀еД В";"икирт̀аП";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на";"Па̀трики";".  ";"";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"В Дѐнь Свято̀го Па̀трика вы̀ходѝ на Па̀трики.";"40a9b96dbde3af62a37e7563a76e653c:3:6"
"";"̀идис̀оП";"";"По̀сидѝ";" ";"на ла̀вочке, глотнѝ из буты̀лочки, всѐ";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:0"
" ̀идис̀оП";"ан";"По̀сидѝ";"на";" ";"ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе";"Ю. Ф. Гуголев. 17 марта. День святого Патрика : «Это что за паника?..» (2019-2020)";"Ю. Ф. Гуголев";"1964";"17 марта. День святого Патрика : «Это что за паника?..»";"2019-2020";"художественная";"";"";"";"";"";"омонимия не снята";"9";"70";"";"";"";"По̀сидѝ на ла̀вочке, глотнѝ из буты̀лочки, всѐ такѝе ла̀почки, всѐ такѝе мѝлочки,";"40a9b96dbde3af62a37e7563a76e653c:4:1"
